seriesuid,coordX,coordY,coordZ,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,31.21893566,-152.8669039,-164.9916026,0.9453125
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-36.82279669,-142.3018707,-108.070675,0.931640625
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-39.72168355,-171.695699,-183.2695171,0.56396484375
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-52.12,-162.2,-192.67,0.72216796875
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-36.71,-187.41,-203.21,0.82568359375
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,29.81,-171.3,-151.21,0.62646484375
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,47.31,-205.62,-104.83,0.982421875
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,68.50106696,-210.1026457,-263.1747366,0.58837890625
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-37.41,-165.7,-217.97,0.89111328125
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-30.21192819,-164.8336465,-217.2689957,0.990234375
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-36.81454067,-238.4760378,-212.4070756,0.69384765625
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,37.51,-223.12,-181.43,0.6240234375
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,9.421335772,-129.8022591,-114.4348394,0.57470703125
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,-80.83,-117.38,-154.72,0.72314453125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,69.73,180.59,-431.57,0.57177734375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,68.82361285,203.9010191,-427.3231615,0.9384765625
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-63.60967054,162.4879212,-464.8235598,0.919921875
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-34.58511524,181.2349595,-411.2076928,0.9189453125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,70.8,192.81,-515.965,0.9765625
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-64.32,169.64,-469.86,0.92822265625
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,87.53,200.12,-479.37,0.95263671875
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,51.84,205.47,-458.21,0.53662109375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-49.52098442,172.2613065,-442.6714377,0.66455078125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,117.9420776,184.8690654,-486.3332932,0.54833984375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-70.62638946,178.7933241,-469.8306561,0.52099609375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,54.57,207.91,-447.33,0.64794921875
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-52.34571516,174.8202623,-499.5320129,0.74267578125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,91.48184253,181.1709814,-464.1975049,0.74609375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-66.1,169.18,-465.11,0.71630859375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,89.89672297,190.3384338,-460.4518298,0.68115234375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-76.46,168.03,-436.36,0.56103515625
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-100.7996608,59.95086382,-506.2815784,0.64501953125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,76.83,177.67,-478.31,0.74951171875
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-89.735,216.66,-416.805,0.70654296875
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-106.25,141.5,-481.7,0.8359375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-124.8903904,127.191988,-473.0545483,0.9990234375
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-7.0,165.1,-378.5,0.60986328125
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,-52.61104678,135.8943548,-471.2989396,0.763671875
