seriesuid,coordX,coordY,coordZ,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-40.55,22.06,-199.82,0.595703125
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,48.18362876,28.27426512,-169.2847243,0.826171875
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-84.53605043,-8.473786714,-132.2235403,0.97802734375
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-69.60557777,70.03423181,-247.0626597,0.84228515625
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-46.71838171,-26.5235879,-259.9459261,0.64501953125
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-49.45805136,-13.64325121,-155.7660929,0.9365234375
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-84.66,43.06,-177.96,0.55517578125
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,91.99115516,35.27087095,-159.4319409,0.83447265625
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-41.0224104,-14.58035529,-210.0957145,0.640625
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-34.25,-14.34,-181.48,0.984375
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,80.27584657,20.51707438,-214.6772471,0.7294921875
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,94.6708323,60.83337582,-129.9737501,0.9814453125
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-40.55,-17.14,-131.42,0.873046875
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,20.38675672,25.34314451,-112.1436172,0.58349609375
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-58.32932128,10.20549871,-193.8565355,0.90966796875
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-32.78263448,21.56750967,-200.527203,0.8447265625
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,42.06704775,46.43048134,-176.1640002,0.60595703125
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,86.17,93.47,-224.49,0.89208984375
